champ,change
Aatrox,nerf
Ahri,tweak
Akali,nerf
Akshan,no change
Alistar,nerf
Amumu,nerf
Anivia,nerf
Annie,tweak
Aphelios,no change
Ashe,nerf
Aurelion Sol,no change
Azir,nerf
Bard,no change
Blitzcrank,buff
Brand,buff
Braum,nerf
Caitlyn,buff
Camille,buff
Cassiopeia,no change
Cho'Gath,no change
Corki,nerf
Darius,nerf
Diana,nerf
Dr. Mundo,nerf
Draven,nerf
Ekko,no change
Elise,no change
Evelynn,no change
Ezreal,no change
Fiddlesticks,tweak
Fiora,nerf
Fizz,nerf
Galio,nerf
Gangplank,nerf
Garen,nerf
Gnar,tweak
Gragas,nerf
Graves,no change
Gwen,no change
Hecarim,nerf
Heimerdinger,tweak
Illaoi,tweak
Irelia,no change
Ivern,nerf
Janna,no change
Jarvan IV,nerf
Jax,buff
Jayce,no change
Jhin,no change
Jinx,no change
Kai'Sa,no change
Kalista,no change
Karma,buff
Karthus,buff
Kassadin,buff
Katarina,tweak
Kayle,no change
Kayn,tweak
Kennen,no change
Kha'Zix,no change
Kindred,no change
Kled,no change
Kog'Maw,no change
LeBlanc,buff
Lee Sin,nerf
Leona,nerf
Lillia,nerf
Lissandra,no change
Lucian,buff
Lulu,no change
Lux,buff
Malphite,nerf
Malzahar,no change
Maokai,tweak
Master Yi,tweak
Miss Fortune,nerf
Mordekaiser,no change
Morgana,no change
Nami,nerf
Nasus,tweak
Nautilus,nerf
Neeko,no change
Nidalee,no change
Nocturne,nerf
Nunu,nerf
Olaf,tweak
Orianna,nerf
Ornn,nerf
Pantheon,tweak
Poppy,no change
Pyke,no change
Qiyana,nerf
Quinn,buff
Rakan,nerf
Rammus,tweak
Rek'Sai,no change
Rell,no change
Renekton,nerf
Rengar,nerf
Riven,nerf
Rumble,nerf
Ryze,no change
Samira,buff
Sejuani,nerf
Senna,no change
Seraphine,no change
Sett,no change
Shaco,nerf
Shen,nerf
Shyvana,nerf
Singed,tweak
Sion,nerf
Sivir,no change
Skarner,nerf
Sona,no change
Soraka,no change
Swain,buff
Sylas,no change
Syndra,buff
Tahm Kench,nerf
Taliyah,buff
Talon,no change
Taric,nerf
Teemo,nerf
Thresh,buff
Tristana,no change
Trundle,nerf
Tryndamere,tweak
Twisted Fate,no change
Twitch,buff
Udyr,nerf
Urgot,nerf
Varus,no change
Vayne,nerf
Veigar,no change
Vel'Koz,no change
Vi,nerf
Viego,no change
Viktor,no change
Vladimir,no change
Volibear,no change
Warwick,tweak
Wukong,no change
Xayah,no change
Xerath,buff
Xin Zhao,tweak
Yasuo,tweak
Yone,tweak
Yorick,no change
Yuumi,no change
Zac,no change
Zed,nerf
Ziggs,tweak
Zilean,buff
Zoe,tweak
Zyra,nerf
