champ,role,winrate,banrate,pickrate,change
Aatrox,TOP,47.83,8.21,6.27,tweak
Ahri,MID,50.23,2.2,5.9,no change
Akali,MID,47.16,23.96,9.02,nerf
Akali,TOP,47.16,23.96,3.7,nerf
Alistar,SUPPORT,51.19,1.3,5.76,no change
Amumu,JUNGLE,52.55,4.71,5.32,no change
Anivia,MID,52.85,11.38,5.08,no change
Anivia,SUPPORT,49.22,11.38,0.65,no change
Annie,MID,52.62,1.36,2.99,no change
Aphelios,ADC,48.06,1.35,4.1,no change
Ashe,ADC,50.04,4.33,10.51,no change
Ashe,SUPPORT,47.99,4.33,2.71,no change
Aurelion Sol,MID,51.76,0.2,0.77,no change
Azir,MID,44.54,0.2,1.16,buff
Bard,SUPPORT,50.73,0.42,2.85,no change
Blitzcrank,SUPPORT,50.03,15.06,6.62,no change
Brand,SUPPORT,52.41,12.58,6.46,no change
Brand,MID,53.74,12.58,1.65,no change
Braum,SUPPORT,49.66,0.47,2.51,no change
Caitlyn,ADC,47.35,8.47,10.97,buff
Camille,TOP,49.76,6.39,6.15,no change
Cassiopeia,TOP,51.05,1.29,0.37,no change
Cassiopeia,MID,50.34,1.29,2.04,no change
Cho'Gath,TOP,53.12,1.23,3.31,no change
Cho'Gath,MID,53.5,1.23,0.6,no change
Corki,MID,49.37,0.23,0.76,no change
Corki,ADC,48.56,0.23,0.12,no change
Darius,TOP,50.37,42.08,9.5,nerf
Diana,MID,52.26,4.94,6.03,no change
Dr. Mundo,JUNGLE,49.84,0.84,1.13,no change
Dr. Mundo,TOP,46.54,0.84,1.17,no change
Draven,ADC,47.84,4.48,3.95,no change
Ekko,JUNGLE,51.84,8.94,7.71,no change
Ekko,MID,51.29,8.94,5.41,no change
Elise,JUNGLE,52.19,4.4,4.83,nerf
Evelynn,JUNGLE,49.43,7.15,4.77,no change
Ezreal,ADC,47.45,3.89,15.06,no change
Fiddlesticks,JUNGLE,51.41,2.36,3.67,no change
Fiora,TOP,48.69,6.51,4.59,no change
Fizz,MID,52.15,21.87,7.28,no change
Galio,MID,52.46,1.82,3.83,no change
Galio,SUPPORT,52.06,1.82,1.46,no change
Gangplank,TOP,45.78,0.76,2.2,no change
Gangplank,MID,47.22,0.76,0.37,no change
Garen,TOP,52.5,5.63,9.19,no change
Gnar,TOP,49.78,1.38,4.49,no change
Gragas,MID,51.95,0.5,0.45,no change
Gragas,TOP,49.72,0.5,1.06,no change
Gragas,JUNGLE,48.13,0.5,2.4,no change
Graves,JUNGLE,47.54,18.88,10.61,no change
Hecarim,JUNGLE,51.37,13.69,10.31,no change
Heimerdinger,MID,52.05,1.32,1.35,no change
Heimerdinger,TOP,51.67,1.32,0.92,no change
Illaoi,TOP,50.85,9.08,4.08,no change
Irelia,TOP,46.18,9.29,6.62,no change
Irelia,MID,46.08,9.29,4.5,no change
Ivern,JUNGLE,52.06,0.97,2.13,no change
Janna,SUPPORT,50.24,0.36,4.11,no change
Jarvan IV,JUNGLE,49.3,0.31,2.64,no change
Jax,TOP,48.66,6.83,4.42,no change
Jax,JUNGLE,48.69,6.83,3.95,no change
Jayce,MID,49.62,0.62,0.79,no change
Jayce,TOP,46.99,0.62,1.96,no change
Jhin,ADC,51.71,24.03,26.13,no change
Jinx,ADC,49.06,0.59,5.88,no change
Kai'Sa,ADC,50.27,9.48,25.03,no change
Kalista,ADC,46.83,0.36,1.64,no change
Kalista,TOP,44.24,0.36,0.3,no change
Karma,SUPPORT,46.29,0.28,3.05,no change
Karthus,JUNGLE,51.25,0.58,1.5,no change
Karthus,MID,50.44,0.58,0.24,no change
Kassadin,MID,48.81,3.19,2.91,no change
Katarina,MID,49.25,19.92,10.1,no change
Kayle,TOP,50.4,1.45,2.53,no change
Kayle,MID,51.26,1.45,0.42,no change
Kayn,JUNGLE,49.66,20.13,14.35,no change
Kennen,MID,52.97,0.34,0.43,no change
Kennen,TOP,49.74,0.34,1.81,no change
Kha'Zix,JUNGLE,49.72,20.4,11.72,no change
Kindred,JUNGLE,47.18,0.91,3.65,no change
Kled,MID,54.23,0.94,0.25,no change
Kled,TOP,50.79,0.94,1.79,no change
Kog'Maw,ADC,50.02,0.15,0.92,no change
LeBlanc,MID,46.88,3.81,3.18,buff
Lee Sin,JUNGLE,46.03,5.65,10.3,no change
Leona,SUPPORT,51.26,27.53,12.24,no change
