champ,role,pickrate,winrate,banrate,rank,change
Akshan,TOP,1.29,47.27,33.44,plattogm,nerf
Akshan,ADC,2.4,45.35,33.44,plattogm,nerf
Ekko,MID,3.56,49.71,2.5,plattogm,buff
Ekko,JUNGLE,4.76,50.75,2.5,plattogm,buff
Evelynn,JUNGLE,5.84,49.74,12.86,plattogm,buff
Graves,JUNGLE,9,50.68,9.26,plattogm,nerf
Graves,MID,3.32,54.16,9.26,plattogm,nerf
Graves,TOP,1.42,53.64,9.26,plattogm,nerf
Irelia,TOP,9.18,51.27,42.48,plattogm,nerf
Irelia,MID,6.35,50.54,42.48,plattogm,nerf
Kayn,JUNGLE,10.2,51.51,18.33,plattogm,nerf
Leona,SUPPORT,11.33,50.58,20.05,plattogm,nerf
Lissandra,MID,2.74,51.87,0.56,plattogm,buff
Lissandra,TOP,0.32,53.97,0.58,plattogm,buff
Nami,SUPPORT,4.98,49.63,0.16,plattogm,buff
Senna,SUPPORT,5.99,48.43,3.62,plattogm,buff
Tahm Kench,TOP,6.46,50.35,27.24,plattogm,nerf
Tahm Kench,SUPPORT,0.84,48.61,27.24,plattogm,nerf
Teemo,TOP,2.33,51.17,1.28,plattogm,buff
Teemo,MID,0.38,50.06,1.52,plattogm,buff
Aphelios,ADC,10.74,49.79,4.25,plattogm,nerf
Ashe,ADC,15.45,53.37,6.16,plattogm,nerf
Camille,TOP,12.56,51.9,15.4,plattogm,nerf
Dr. Mundo,TOP,3.01,49.86,2.42,plattogm,buff
Gangplank,TOP,5.74,45.41,3.61,plattogm,buff
Gangplank,MID,1.65,45.21,3.61,plattogm,buff
Jayce,TOP,6.19,47.43,2.87,plattogm,nerf
Jayce,MID,1.73,49.87,2.87,plattogm,nerf
Jinx,ADC,6.41,50.83,0.3,plattogm,buff
Kalista,ADC,2.3,49.47,0.49,plattogm,buff
Karma,SUPPORT,7.36,50.16,1.7,plattogm,buff
Lee Sin,JUNGLE,19.86,50.46,27.46,plattogm,nerf
Lillia,TOP,1.54,54.2,0.95,plattogm,buff
Lillia,JUNGLE,2.44,52.17,0.95,plattogm,buff
Miss Fortune,ADC,3.99,50.53,0.21,plattogm,buff
Morgana,SUPPORT,6.42,49.61,23.85,plattogm,buff
Renekton,TOP,5.47,48.78,5,plattogm,nerf
Renekton,MID,1.28,47.97,5,plattogm,nerf
Taliyah,JUNGLE,1.18,53.25,0.16,plattogm,nerf
Taliyah,MID,0.17,53.93,0.15,plattogm,nerf
Talon,MID,4.05,53.55,4.69,plattogm,nerf
Talon,TOP,0.55,49.94,4.69,plattogm,nerf
Trundle,JUNGLE,5.24,52.73,5.83,plattogm,nerf
Trundle,TOP,2.23,52.89,5.83,plattogm,nerf
Trundle,SUPPORT,2.7,51.38,5.83,plattogm,nerf
Twitch,ADC,4.43,50.03,1.42,plattogm,buff
Urgot,MID,0.33,55.61,1.21,plattogm,buff
Urgot,TOP,2.58,47.17,1.06,plattogm,buff
Varus,ADC,7.2,50.09,1.51,plattogm,nerf
Yone,MID,7.91,50.84,12.64,plattogm,buff
Yone,TOP,3.2,52.07,12.64,plattogm,buff
Yuumi,SUPPORT,10.51,47.97,21.51,plattogm,buff
Zoe,MID,3.13,48.93,1.3,plattogm,buff
Akali,MID,7.59,46.72,28.65,plattogm,nerf
Akali,TOP,4.28,46.33,28.65,plattogm,nerf
Azir,MID,1.3,45.81,0.18,plattogm,buff
Caitlyn,ADC,6.31,49.22,2.99,plattogm,buff
Darius,TOP,8.7,54.16,34.31,plattogm,nerf
Elise,JUNGLE,7.75,53.49,6.45,plattogm,nerf
LeBlanc,MID,3.41,47.57,2.87,plattogm,buff
Nocturne,TOP,0.17,44.37,0.44,plattogm,buff
Nocturne,MID,0.26,42.74,0.44,plattogm,buff
Nocturne,JUNGLE,1.53,44.34,0.44,plattogm,buff
Senna,ADC,1.18,50.13,1.12,plattogm,buff
Senna,SUPPORT,2.78,47.39,1.12,plattogm,buff
Shaco,SUPPORT,2.43,53.1,6.69,plattogm,buff
Shaco,JUNGLE,3.72,49.82,6.69,plattogm,buff
Soraka,SUPPORT,2.75,47.51,0.36,plattogm,buff
Trundle,TOP,0.25,50.47,0.1,plattogm,buff
Trundle,JUNGLE,0.53,50.9,0.09,plattogm,buff
Varus,MID,0.15,49.94,0.07,plattogm,buff
Varus,ADC,1.27,48.16,0.06,plattogm,buff
Anivia,MID,6.58,54.76,20.23,plattogm,nerf
Elise,JUNGLE,7.71,53.17,8.7,plattogm,nerf
Ezreal,ADC,10.41,48.94,1.53,plattogm,buff
Ivern,JUNGLE,4.04,54.16,5.31,plattogm,nerf
Karma,SUPPORT,4.75,48.55,0.27,plattogm,buff
Karma,MID,0.78,46.71,0.27,plattogm,buff
Karma,TOP,0.68,46.38,0.27,plattogm,buff
Mordekaiser,TOP,4.28,48.98,3.49,plattogm,buff
Mordekaiser,MID,0.55,54.3,3.49,plattogm,buff
Olaf,JUNGLE,8.32,55.11,37.15,plattogm,nerf
Riven,TOP,4.48,49.91,1.54,plattogm,buff
Riven,MID,0.69,56.4,1.54,plattogm,buff
Seraphine,SUPPORT,13.25,55.43,17.77,plattogm,nerf
Seraphine,MID,3.28,55.1,17.77,plattogm,nerf
Seraphine,ADC,1.88,59.23,17.77,plattogm,nerf
Singed,MID,0.14,52.8,0.18,plattogm,buff
Singed,TOP,1.08,46.97,0.18,plattogm,buff
Udyr,JUNGLE,7.74,55.22,7.57,plattogm,nerf
Vladimir,MID,3.7,49.66,4.05,plattogm,buff
Vladimir,TOP,1.66,50.71,4.05,plattogm,buff
Amumu,JUNGLE,1.58,46.34,0.67,plattogm,buff
Braum,SUPPORT,2,49.5,0.2,plattogm,buff
Caitlyn,ADC,4.85,48.13,1.88,plattogm,buff
Camille,TOP,12.69,51.21,21.68,plattogm,nerf
Fiora,TOP,4.89,49.77,5.63,plattogm,buff
Jinx,ADC,6.41,51.38,0.28,plattogm,buff
Katarina,MID,7.54,50.52,17.13,plattogm,buff
Lee Sin,JUNGLE,7.58,47.55,2.02,plattogm,buff
Renekton,TOP,7.31,49.53,11.2,plattogm,nerf
Renekton,MID,1.43,52.1,11.2,plattogm,nerf
Skarner,JUNGLE,3.23,54.46,1.08,plattogm,nerf
Soraka,SUPPORT,2.99,46.67,0.33,plattogm,buff
Talon,MID,3.1,50.63,1.33,plattogm,buff
Tryndamere,TOP,1.88,49.8,1.54,plattogm,buff
Tryndamere,MID,0.37,48.99,1.54,plattogm,buff
Urgot,TOP,2.68,52.17,1.07,plattogm,buff
Veigar,MID,1.88,50.18,0.3,plattogm,buff
Veigar,ADC,0.41,52.18,0.3,plattogm,buff
Veigar,SUPPORT,0.28,45.44,0.34,plattogm,buff
Azir,MID,3.34,48.09,0.67,plattogm,nerf
Gragas,TOP,6.45,48.38,2.73,plattogm,nerf
Gragas,JUNGLE,3.32,50.26,2.73,plattogm,nerf
Gragas,SUPPORT,2.55,48.09,2.73,plattogm,nerf
Jax,TOP,3.53,48.51,4.93,plattogm,buff
Jax,MID,0.38,47.05,4.93,plattogm,buff
Jax,JUNGLE,0.9,42.06,4.85,plattogm,buff
Karma,SUPPORT,5.41,50.07,0.36,plattogm,buff
Karma,MID,0.66,47.23,0.36,plattogm,buff
Master Yi,JUNGLE,3.68,49.58,6.54,plattogm,buff
Qiyana,MID,2.96,48.97,0.66,plattogm,buff
Rammus,JUNGLE,3.89,53.57,6.1,plattogm,nerf
Rell,SUPPORT,9.82,51.75,23.22,plattogm,nerf
Samira,ADC,3.64,47.94,13.8,plattogm,buff
Sejuani,JUNGLE,1.69,51.2,0.13,plattogm,buff
Trundle,JUNGLE,0.71,51.4,0.11,plattogm,buff
Trundle,TOP,0.28,48.76,0.12,plattogm,buff
Udyr,JUNGLE,10.24,53.26,61.84,plattogm,nerf
Gnar,TOP,14.82,52.09,19.41,plattogm,nerf
Hecarim,JUNGLE,16.95,53.61,44.7,plattogm,nerf
Karthus,JUNGLE,5.33,52.38,12.04,plattogm,nerf
LeBlanc,MID,3.41,50.6,2.51,plattogm,buff
Lillia,JUNGLE,9.64,46.78,5.81,plattogm,buff
Renekton,TOP,6.57,48.51,8.85,plattogm,nerf
Renekton,MID,1.4,53.77,8.85,plattogm,nerf
Sylas,MID,5.04,51.37,1.94,plattogm,buff
Sylas,TOP,2,51.85,1.94,plattogm,buff
Urgot,TOP,5.32,53.19,2.48,plattogm,nerf
Urgot,MID,0.55,55.79,2.8,plattogm,nerf
Alistar,SUPPORT,12.32,50.81,5.45,plattogm,nerf
Amumu,JUNGLE,1.84,51.43,0.52,plattogm,buff
Ashe,ADC,4.37,51.3,0.41,plattogm,buff
Braum,SUPPORT,2.29,51.24,0.25,plattogm,buff
Hecarim,JUNGLE,14.05,53.17,59.47,plattogm,nerf
Ivern,JUNGLE,2.29,51.42,0.86,plattogm,nerf
Kindred,JUNGLE,3.1,50.9,0.85,plattogm,buff
Lissandra,MID,1.77,52.1,0.29,plattogm,buff
Lissandra,TOP,0.25,52.68,0.32,plattogm,buff
Mordekaiser,TOP,4.05,47.71,3.31,plattogm,buff
Mordekaiser,MID,0.59,53.17,3.78,plattogm,buff
Rell,SUPPORT,7.15,51.41,18.64,plattogm,nerf
Teemo,TOP,2.41,52.59,1.76,plattogm,buff
Teemo,MID,0.36,47.61,2.09,plattogm,buff
Thresh,SUPPORT,20.48,51.61,20.34,plattogm,nerf
Tristana,ADC,18.24,51.17,17.81,plattogm,nerf
Tristana,MID,2.49,50.1,17.81,plattogm,nerf
Udyr,JUNGLE,8.82,51.54,39.74,plattogm,nerf
Varus,ADC,2.61,47.92,0.16,plattogm,buff
Varus,MID,0.41,42.58,0.16,plattogm,buff
Yasuo,MID,6.74,47.63,14.82,plattogm,buff
Yasuo,TOP,1.79,47.4,14.82,plattogm,buff
Yasuo,ADC,1.25,47.72,14.82,plattogm,buff
Annie,MID,2.46,54.59,0.99,plattogm,nerf
Annie,SUPPORT,0.28,50.6,1.06,plattogm,nerf
Aphelios,ADC,3.53,47.6,0.63,plattogm,buff
Cassiopeia,MID,2,54.83,1.16,plattogm,buff
Cassiopeia,TOP,0.47,52.32,1.16,plattogm,buff
Cassiopeia,ADC,0.24,51.25,1.18,plattogm,buff
Darius,TOP,7.18,53.37,31.01,plattogm,buff
Diana,MID,4.44,52.98,3.15,plattogm,buff
Gnar,TOP,9.74,50.71,12.06,plattogm,buff
LeBlanc,MID,3.18,48.61,2.7,plattogm,buff
Lee Sin,JUNGLE,11.38,49.67,2.95,plattogm,buff
Mordekaiser,TOP,5.68,49.48,4.62,plattogm,buff
Mordekaiser,MID,0.75,50.81,4.62,plattogm,buff
Morgana,SUPPORT,7.19,51,28.2,plattogm,buff
Orianna,MID,6.62,49.18,0.76,plattogm,nerf
Thresh,SUPPORT,19.88,51.74,22.34,plattogm,nerf
Vladimir,MID,3.85,52.11,4.64,plattogm,buff
Vladimir,TOP,1.62,48.23,4.64,plattogm,buff
Zac,JUNGLE,2.53,52.02,0.62,plattogm,buff
Zac,TOP,0.3,51.46,0.62,plattogm,buff
Zed,MID,9.26,50.4,30.13,plattogm,buff
Diana,JUNGLE,12.84,53.56,22.78,plattogm,nerf
Diana,MID,4.3,54.68,22.78,plattogm,nerf
Garen,TOP,5.12,51.7,3.64,plattogm,nerf
Garen,MID,1,55.33,4.32,plattogm,nerf
Gragas,JUNGLE,2.24,52.21,0.66,plattogm,nerf
Gragas,SUPPORT,1.63,48.11,0.66,plattogm,nerf
Gragas,TOP,1.4,45.42,0.66,plattogm,nerf
Heimerdinger,MID,0.69,51.68,0.57,plattogm,nerf
Heimerdinger,ADC,0.56,52.68,0.57,plattogm,nerf
Heimerdinger,TOP,0.67,53.53,0.57,plattogm,nerf
Kayn,JUNGLE,7.89,50.73,9.35,plattogm,buff
Kindred,JUNGLE,2.97,47.9,1.08,plattogm,buff
Lulu,SUPPORT,16.46,50.22,18.41,plattogm,buff
Morgana,JUNGLE,8.89,54.88,43.1,plattogm,nerf
Morgana,SUPPORT,6.18,50.66,43.1,plattogm,nerf
Rumble,TOP,3.4,50.41,4.36,plattogm,nerf
Rumble,MID,2.54,52.3,4.36,plattogm,nerf
Rumble,JUNGLE,2.37,50.54,4.36,plattogm,nerf
Sett,TOP,4.27,50.69,1.89,plattogm,buff
Sett,MID,1.07,49.45,1.89,plattogm,buff
Sett,SUPPORT,1.91,46.68,1.89,plattogm,buff
Taric,SUPPORT,1.25,53.08,0.25,plattogm,buff
Trundle,JUNGLE,0.79,48.65,0.16,plattogm,buff
Trundle,TOP,0.4,52.68,0.16,plattogm,buff
Vladimir,MID,7.39,54.7,13.5,plattogm,nerf
Vladimir,TOP,3.35,52.44,13.5,plattogm,nerf
Xerath,MID,1.85,49.02,0.86,plattogm,buff
Xerath,SUPPORT,2.13,49.99,0.86,plattogm,buff
Bard,SUPPORT,6.42,51.74,2.8,plattogm,nerf
Darius,TOP,6.94,53.4,31.55,plattogm,nerf
Jinx,ADC,24.3,52.31,11.33,plattogm,nerf
Katarina,MID,7.94,50.28,15.94,plattogm,nerf
Kayle,MID,0.31,53.94,0.28,plattogm,buff
Kayle,TOP,1.66,48.98,0.28,plattogm,buff
Kennen,TOP,1.89,52.9,0.3,plattogm,buff
Kennen,MID,0.48,51.94,0.28,plattogm,buff
Lux,MID,2.99,52.29,0.69,plattogm,buff
Lux,SUPPORT,3.88,46.44,0.69,plattogm,buff
Talon,MID,4.61,51.34,6.01,plattogm,nerf
Yuumi,SUPPORT,7.19,50.04,7.02,plattogm,buff
Zyra,SUPPORT,2.33,48.36,0.68,plattogm,buff
Aatrox,TOP,49.17,2.66,3.75,irontogold,buff
Akali,MID,47.4,10.9,6.05,irontogold,buff
Akali,TOP,46.52,10.9,2.26,irontogold,buff
Galio,MID,50.26,0.88,2.38,irontogold,buff
Galio,SUPPORT,48.2,0.88,1.74,irontogold,buff
Gwen,JUNGLE,48.36,3.68,0.4,irontogold,buff
Gwen,TOP,45.1,3.68,2.62,irontogold,buff
Kennen,MID,51.05,0.86,0.61,irontogold,nerf
Kennen,TOP,48.82,0.86,2.69,irontogold,nerf
Mordekaiser,TOP,50.81,13.71,9.11,irontogold,buff
Mordekaiser,JUNGLE,52.41,13.71,1.15,irontogold,buff
Poppy,JUNGLE,49.37,0.58,1.66,irontogold,buff
Poppy,TOP,48.11,0.58,0.89,irontogold,buff
Poppy,SUPPORT,49.57,0.58,0.29,irontogold,buff
Renekton,MID,47.14,2.29,0.53,irontogold,buff
Renekton,TOP,44.1,2.29,2.95,irontogold,buff
Ryze,MID,46.19,0.71,4.62,irontogold,nerf
Ryze,TOP,46.4,0.71,1.14,irontogold,nerf
Sejuani,JUNGLE,50.1,0.22,1.6,irontogold,buff
Seraphine,SUPPORT,48.92,1.9,5.02,irontogold,buff
Sion,TOP,49.18,0.34,2.79,irontogold,buff
Sona,SUPPORT,52.31,0.57,4.6,irontogold,nerf
Soraka,SUPPORT,53.44,3.46,8.11,irontogold,nerf
Sylas,MID,48.06,6.68,6.67,irontogold,buff
Sylas,TOP,46.61,6.68,2.38,irontogold,buff
Varus,ADC,47.16,0.67,4.29,irontogold,nerf
Aatrox,TOP,50.55,2.99,5.04,plattogm,buff
Akali,MID,47.19,7.7,4.12,plattogm,buff
Akali,TOP,47.44,7.7,2.18,plattogm,buff
Galio,MID,52.44,0.79,2.99,plattogm,buff
Galio,SUPPORT,47.59,0.79,1.5,plattogm,buff
Gwen,JUNGLE,56.35,5.14,0.6,plattogm,buff
Gwen,TOP,47.05,5.14,3.25,plattogm,buff
Kennen,TOP,49.71,1.33,3.71,plattogm,nerf
Kennen,MID,51.67,1.21,0.75,plattogm,nerf
Mordekaiser,TOP,51.67,8.99,7.49,plattogm,buff
Poppy,JUNGLE,46.81,0.61,1.5,plattogm,buff
Poppy,TOP,47.61,0.61,1.09,plattogm,buff
Renekton,TOP,45.46,2.37,3.13,plattogm,buff
Renekton,MID,43.84,2.34,0.52,plattogm,buff
Ryze,MID,46.61,0.85,5.92,plattogm,nerf
Ryze,TOP,48.26,0.79,1.28,plattogm,nerf
Sejuani,JUNGLE,46.26,0.2,1.66,plattogm,buff
Seraphine,MID,56.94,1.35,0.95,plattogm,buff
Seraphine,SUPPORT,49.98,1.35,4.82,plattogm,buff
Seraphine,ADC,53.74,1.35,0.68,plattogm,buff
Sion,TOP,48.41,0.27,3.61,plattogm,buff
Sona,SUPPORT,54.06,0.93,5.36,plattogm,nerf
Soraka,SUPPORT,53.37,6.93,10.62,plattogm,nerf
Sylas,MID,51.45,7.42,8.5,plattogm,buff
Sylas,TOP,46.55,7.42,2.68,plattogm,buff
Varus,ADC,45.55,0.51,3.86,plattogm,nerf
